SAMPLE_NUMBER,SAMPLE_ID,LATITUDE,LONGITUDE,BOX_NUMBER,COLLECTION_DATE,COLLECTION_TIME,SAMPLE_BAG,BEFORE_PHOTO_NUMBER,AFTER_PHOTO_NUMBER,SHOT_MEASUREMENT_X,SHOT_MEASUREMENT_Y,PENETROMETER_READING,RELIABILITY_,NOTES,IMAGES,,,,,,,
139,XXXXXXXX02_7-S,32.282104,-108.888249,XXXXXXXX02,,,7-S,,,,,,,,,,,,,,,
140,XXXXXXXX02_7-W,32.282149,-108.888302,XXXXXXXX02,,,7-W,,,,,,,,,,,,,,,
141,XXXXXXXX02_8,32.282797,-108.888105,XXXXXXXX02,,,8,,,,,,,,,,,,,,,
142,XXXXXXXX02_8-E,32.282797,-108.888052,XXXXXXXX02,,,8-E,,,,,,,,,,,,,,,
143,XXXXXXXX02_8-N,32.282842,-108.888105,XXXXXXXX02,,,8-N,,,,,,,,,,,,,,,
144,XXXXXXXX02_8-S,32.282752,-108.888105,XXXXXXXX02,,,8-S,,,,,,,,,,,,,,,
145,XXXXXXXX02_8-W,32.282797,-108.888158,XXXXXXXX02,,,8-W,,,,,,,,,,,,,,,
146,XXXXXXXX03_10,32.284126,-108.887888,XXXXXXXX03,,,10,,,,,,,,,,,,,,,
147,XXXXXXXX03_10-E,32.284126,-108.887835,XXXXXXXX03,,,10-E,,,,,,,,,,,,,,,
148,XXXXXXXX03_10-N,32.284171,-108.887888,XXXXXXXX03,,,10-N,,,,,,,,,,,,,,,
149,XXXXXXXX03_10-S,32.284081,-108.887888,XXXXXXXX03,,,10-S,,,,,,,,,,,,,,,
150,XXXXXXXX03_10-W,32.284126,-108.887941,XXXXXXXX03,,,10-W,,,,,,,,,,,,,,,
151,XXXXXXXX03_11,32.284783,-108.887773,XXXXXXXX03,,,11,,,,,,,,,,,,,,,
152,XXXXXXXX03_11-E,32.284783,-108.887719,XXXXXXXX03,,,11-E,,,,,,,,,,,,,,,
153,XXXXXXXX03_11-N,32.284828,-108.887773,XXXXXXXX03,,,11-N,,,,,,,,,,,,,,,
154,XXXXXXXX03_11-S,32.284738,-108.887773,XXXXXXXX03,,,11-S,,,,,,,,,,,,,,,
155,XXXXXXXX03_11-W,32.284783,-108.887826,XXXXXXXX03,,,11-W,,,,,,,,,,,,,,,
156,XXXXXXXX03_9,32.283461,-108.888003,XXXXXXXX03,,,9,,,,,,,,,,,,,,,
157,XXXXXXXX03_9-E,32.283461,-108.887950,XXXXXXXX03,,,9-E,,,,,,,,,,,,,,,
158,XXXXXXXX03_9-N,32.283506,-108.888003,XXXXXXXX03,,,9-N,,,,,,,,,,,,,,,
159,XXXXXXXX03_9-S,32.283416,-108.888003,XXXXXXXX03,,,9-S,,,,,,,,,,,,,,,
160,XXXXXXXX03_9-W,32.283461,-108.888056,XXXXXXXX03,,,9-W,,,,,,,,,,,,,,,
161,XXXXXXXX04_12,32.285479,-108.887646,XXXXXXXX04,,,12,,,,,,,,,,,,,,,
162,XXXXXXXX04_12-E,32.285479,-108.887593,XXXXXXXX04,,,12-E,,,,,,,,,,,,,,,
163,XXXXXXXX04_12-N,32.285524,-108.887646,XXXXXXXX04,,,12-N,,,,,,,,,,,,,,,
164,XXXXXXXX04_12-S,32.285434,-108.887646,XXXXXXXX04,,,12-S,,,,,,,,,,,,,,,
165,XXXXXXXX04_12-W,32.285479,-108.887699,XXXXXXXX04,,,12-W,,,,,,,,,,,,,,,
166,XXXXXXXX04_13,32.286126,-108.887414,XXXXXXXX04,,,13,,,,,,,,,,,,,,,
167,XXXXXXXX04_13-E,32.286126,-108.887360,XXXXXXXX04,,,13-E,,,,,,,,,,,,,,,
